id,name,imm,flags,src,dst
0x4D,i32.le_u,NONE,,i32 i32,i32
0x4E,i32.ge_s,NONE,,i32 i32,i32
0x4F,i32.ge_u,NONE,,i32 i32,i32
0x50,i64.eqz,NONE,,i64,i32
0x51,i64.eq,NONE,,i64 i64,i32
0x52,i64.ne,NONE,,i64 i64,i32
0x53,i64.lt_s,NONE,,i64 i64,i32
0x54,i64.lt_u,NONE,,i64 i64,i32
0x55,i64.gt_s,NONE,,i64 i64,i32
0x56,i64.gt_u,NONE,,i64 i64,i32
0x57,i64.le_s,NONE,,i64 i64,i32
0x58,i64.le_u,NONE,,i64 i64,i32
0x59,i64.ge_s,NONE,,i64 i64,i32
0x5A,i64.ge_u,NONE,,i64 i64,i32
0x5B,f32.eq,NONE,,f32 f32,i32
0x5C,f32.ne,NONE,,f32 f32,i32
0x5D,f32.lt,NONE,,f32 f32,i32
0x5E,f32.gt,NONE,,f32 f32,i32
0x5F,f32.le,NONE,,f32 f32,i32
0x60,f32.ge,NONE,,f32 f32,i32
0x61,f64.eq,NONE,,f32 f32,i32
0x62,f64.ne,NONE,,f32 f32,i32
0x63,f64.lt,NONE,,f32 f32,i32
0x64,f64.gt,NONE,,f32 f32,i32
0x65,f64.le,NONE,,f32 f32,i32
0x66,f64.ge,NONE,,f32 f32,i32
0x67,i32.clz,NONE,,i32,i32
0x68,i32.ctz,NONE,,i32,i32
0x69,i32.popcnt,NONE,,i32,i32
0x6A,i32.add,NONE,,i32 i32,i32
0x6B,i32.sub,NONE,,i32 i32,i32
0x6C,i32.mul,NONE,,i32 i32,i32
0x6D,i32.div_s,NONE,,i32 i32,i32
0x6E,i32.div_u,NONE,,i32 i32,i32
0x6F,i32.rem_s,NONE,,i32 i32,i32
0x70,i32.rem_u,NONE,,i32 i32,i32
0x71,i32.and,NONE,,i32 i32,i32
0x72,i32.or,NONE,,i32 i32,i32
0x73,i32.xor,NONE,,i32 i32,i32
0x74,i32.shl,NONE,,i32 i32,i32
0x75,i32.shr_s,NONE,,i32 i32,i32
0x76,i32.shr_u,NONE,,i32 i32,i32
0x77,i32.rotl,NONE,,i32 i32,i32
0x78,i32.rotr,NONE,,i32 i32,i32
0x79,i64.clz,NONE,,i64,i64
0x7A,i64.ctz,NONE,,i64,i64
0x7B,i64.popcnt,NONE,,i64,i64
0x7C,i64.add,NONE,,i64 i64,i64
0x7D,i64.sub,NONE,,i64 i64,i64
0x7E,i64.mul,NONE,,i64 i64,i64
0x7F,i64.div_s,NONE,,i64 i64,i64
0x80,i64.div_u,NONE,,i64 i64,i64
0x81,i64.rem_s,NONE,,i64 i64,i64
0x82,i64.rem_u,NONE,,i64 i64,i64
0x83,i64.and,NONE,,i64 i64,i64
0x84,i64.or,NONE,,i64 i64,i64
0x85,i64.xor,NONE,,i64 i64,i64
0x86,i64.shl,NONE,,i64 i64,i64
0x87,i64.shr_s,NONE,,i64 i64,i64
0x88,i64.shr_u,NONE,,i64 i64,i64
0x89,i64.rotl,NONE,,i64 i64,i64
0x8A,i64.rotr,NONE,,i64 i64,i64
0x8B,f32.abs,NONE,,f32,f32
0x8C,f32.neg,NONE,,f32,f32
0x8D,f32.ceil,NONE,,f32,f32
0x8E,f32.floor,NONE,,f32,f32
0x8F,f32.trunc,NONE,,f32,f32
0x90,f32.nearest,NONE,,f32,f32
0x91,f32.sqrt,NONE,,f32,f32
0x92,f32.add,NONE,,f32 f32,f32
0x93,f32.sub,NONE,,f32 f32,f32
0x94,f32.mul,NONE,,f32 f32,f32
0x95,f32.div,NONE,,f32 f32,f32
0x96,f32.min,NONE,,f32 f32,f32
0x97,f32.max,NONE,,f32 f32,f32
0x98,f32.copysign,NONE,,f32 f32,f32
0x99,f64.abs,NONE,,f64,f64
0x9A,f64.neg,NONE,,f64,f64
0x9B,f64.ceil,NONE,,f64,f64
0x9C,f64.floor,NONE,,f64,f64
0x9D,f64.trunc,NONE,,f64,f64
0x9E,f64.nearest,NONE,,f64,f64
0x9F,f64.sqrt,NONE,,f64,f64
0xA0,f64.add,NONE,,f64 f64,f64
0xA1,f64.sub,NONE,,f64 f64,f64
0xA2,f64.mul,NONE,,f64 f64,f64
0xA3,f64.div,NONE,,f64 f64,f64
0xA4,f64.min,NONE,,f64 f64,f64
0xA5,f64.max,NONE,,f64 f64,f64
0xA6,f64.copysign,NONE,,f64 f64,f64
0xA7,i32.wrap_i64,NONE,,i64,i32
0xA8,i32.trunc_f32_s,NONE,,f32,i32
0xA9,i32.trunc_f32_u,NONE,,f32,i32
0xAA,i32.trunc_f64_s,NONE,,f64,i32
0xAB,i32.trunc_f64_u,NONE,,f64,i32
0xAC,i64.extend_i32_s,NONE,,i32,i64
0xAD,i64.extend_i32_u,NONE,,i32,i64
0xAE,i64.trunc_f32_s,NONE,,f32,i64
0xAF,i64.trunc_f32_u,NONE,,f32,i64
0xB0,i64.trunc_f64_s,NONE,,f64,i64
0xB1,i64.trunc_f64_u,NONE,,f64,i64
0xB2,f32.convert_i32_s,NONE,,i32,f32
0xB3,f32.convert_i32_u,NONE,,i32,f32
0xB4,f32.convert_i64_s,NONE,,i64,f32
0xB5,f32.convert_i64_u,NONE,,i64,f32
0xB6,f32.demote_f64,NONE,,f64,f32
0xB7,f64.convert_i32_s,NONE,,i32,f64
0xB8,f64.convert_i32_u,NONE,,i32,f64
0xB9,f64.convert_i64_s,NONE,,i64,f64
0xBA,f64.convert_i64_u,NONE,,i64,f64
0xBB,f64.promote_f32,NONE,,f32,f64
0xBC,i32.reinterpret_f32,NONE,,f32,i32
0xBD,i64.reinterpret_f64,NONE,,f64,i64
0xBE,f32.reinterpret_i32,NONE,,i32,f32
0xBF,f64.reinterpret_i64,NONE,,i64,f64
